"NAME,C,254","TYPE,C,254","LENGTH___F,N,19,6","WIDTH___FE,N,19,6","HEIGHT___F,N,19,6","FLOOR_SPAC,N,11,0","YEAR_BUILT,N,11,0","ROOF,C,254","ROOF_REPLA,N,11,0","ACCESSIBLE,C,254","AMENITIES,C,100","COMMENTS,C,254","MAX_PDOP,N,19,6","MAX_HDOP,N,19,6","CORR_TYPE,C,254","RCVR_TYPE,C,254","GPS_DATE,C,254","GPS_TIME,C,254","UPDATE_STA,C,254","FEAT_NAME,C,254","DATAFILE,C,254","UNFILT_POS,N,11,0","FILT_POS,N,11,0","DATA_DICTI,C,254","GPS_WEEK,N,11,0","GPS_SECOND,N,19,6","GPS_HEIGHT,N,19,6","VERT_PREC,N,19,6","HORZ_PREC,N,19,6","STD_DEV,N,19,6","LATITUDE,C,254","LONGITUDE,C,254","SOURCE,C,100","FMSS_ID,N,16,0","STATUS,C,100","X_COORD,N,19,5","Y_COORD,N,19,5","Join_Id,C,50","TRAIL_CLUB,C,100","Town,C,50","County,C,50","State,C,25","Elev_feet,N,10,3","Publish,C,4","Version,C,20"
Little Laurel,Stone/Log,18.000000,15.000000,9.000000,105,1965,Corregated_metal,1990,No,Unknown,,7.600000,4.900000,Differential,Geo XT,06/03/04,12:00:59pm,New,Shelter_Inventory,R060310A_edited.cor,32,32,ATversion10,1273,403272.000000,3674.240000,3.000000,1.900000,2.515974,36.015011621,-82.736067197,2004 Trail Assessment,95279,Official A.T. Shelter,-82.73606,36.01501,SH49,Carolina Mountain Club,,MADISON,North Carolina,3658.136,Yes,01/12/2015
Pecks Corner,Stone/Log,25.000000,32.000000,11.000000,110,1965,Corregated_metal,2000,No,Unknown,rebuilt 2000,3.600000,2.100000,Differential,Geo XT,06/09/04,05:14:37pm,New,Shelter_Inventory,R060911A_edited.cor,34,34,ATversion10,1274,335690.000000,5328.931000,2.900000,1.900000,2.331735,35.650753138,-83.308673284,2004 Trail Assessment,95322,Official A.T. Shelter,-83.30867,35.65075,SH50,Smoky Mountain Hiking Club,,SWAIN,North Carolina,5300.711,Yes,01/12/2015
Tri-corner Knob,Stone/Log,25.500000,22.000000,10.500000,280,1965,Corregated_metal,2004,Unknown,Unknown,,7.000000,5.400000,Differential,Geo XT,06/10/04,11:43:54am,New,Shelter_Inventory,R061007A_edited.cor,28,28,ATversion10,1274,402247.000000,5924.674000,4.000000,3.700000,3.058664,35.693725899,-83.256784859,2004 Trail Assessment,95317,Official A.T. Shelter,-83.25678,35.69373,SH51,Smoky Mountain Hiking Club,,SWAIN,North Carolina,5899.344,Yes,01/12/2015
Cosby Knob,Stone/Log,22.000000,19.000000,11.000000,270,1965,Corregated_metal,0,Yes,Unknown,,7.000000,4.500000,Differential,Geo XT,06/10/04,06:04:08pm,New,Shelter_Inventory,R061013A_edited.cor,54,54,ATversion10,1274,425061.000000,4791.714000,4.000000,2.300000,6.731908,35.728227661,-83.182110489,2004 Trail Assessment,95314,Official A.T. Shelter,-83.18211,35.72823,SH52,Smoky Mountain Hiking Club,,HAYWOOD,North Carolina,4731.057,Yes,01/12/2015
Muskrat Creek,Log,20.000000,13.000000,7.750000,93,1995,Corregated_metal,1995,No,Unknown,,6.000000,2.100000,Differential,Geo XT,06/15/04,12:59:11pm,New,Shelter_Inventory,R061512A_edited.cor,30,30,ATversion10,1275,233964.000000,4603.569000,3.200000,1.800000,5.495034,35.020610434,-83.581558488,2004 Trail Assessment,95255,Official A.T. Shelter,-83.58155,35.02061,SH53,Nantahala Hiking Club,,CLAY,North Carolina,4563.715,Yes,01/12/2015
Fullhardt Knob,Stick_w/ply_siding,16.000000,8.000000,10.000000,128,1965,Cedar Shingle,1994,No,Unknown,"3 RELATIVELY NEW UTILITY  HOOKS INSIDE SHELTER as of 2004, Loft is 1.5 feet above ground.",3.300000,2.200000,Differential,GeoExplorer 3,02/20/04,12:32:08,New,FMSS Shelter,R022015A_Edited.cor,22,22,AT Version 9c,1258,491542.000000,819.524000,1.700000,1.600000,7.441147,37.398461719,-79.853905702,2004 Trail Assessment; adjusted based on aerial imagery,95394,Official A.T. Shelter,-79.85390,37.39846,SH54,Roanoke Appalachian Trail Club,,BOTETOURT,Virginia,2662.993,Yes,01/12/2015
Campbell,Lumber,16.000000,8.000000,8.000000,128,1989,Asphault Shingle,1989,No,Unknown,,5.000000,2.700000,Differential,GeoExplorer 3,02/26/04,14:22:23,New,FMSS Shelter,R022615A_Edited.cor,20,20,AT Version 9c,1259,411756.000000,811.919000,1.200000,0.900000,7.442711,37.390755456,-80.029446044,2004 Trail Assessment; adjusted based on aerial imagery,95404,Official A.T. Shelter,-80.02944,37.39075,SH55,Roanoke Appalachian Trail Club,,ROANOKE,Virginia,2624.647,Yes,01/12/2015
Cove Mountain,Lumber,16.000000,8.000000,8.000000,128,1981,Asphault Shingle,1981,No,Unknown,needs new roof,2.800000,1.700000,Differential,GeoExplorer 3,03/09/04,13:26:09,New,FMSS Shelter,R030917A_Edited.cor,30,30,AT Version 9c,1261,235582.000000,608.309000,1.700000,1.300000,10.789745,37.511570989,-79.650958006,2004 Trail Assessment; adjusted based on aerial imagery,95391,Official A.T. Shelter,-79.65095,37.51157,SH56,Natural Bridge Appalachian Trail Club,,BOTETOURT,Virginia,0.000,Yes,01/12/2015
Thunder Hill,Stick_w/Lumber_siding,16.000000,8.000000,8.000000,128,1962,Corregated_steel,2010,Unknown,Unknown,,5.300000,1.800000,Differential,GeoExplorer 3,03/10/04,14:58:13,New,FMSS Shelter,R031017A_Edited.cor,31,31,AT Version 9c,1261,327507.000000,1212.146000,2.100000,1.000000,23.501803,37.527397325,-79.504141277,2004 Trail Assessment,95388,Official A.T. Shelter,-79.50414,37.52740,SH57,Natural Bridge Appalachian Trail Club,,BEDFORD,Virginia,3926.271,Yes,01/12/2015
Partnership,Log/Lumber,25.000000,15.000000,19.000000,450,1997,Cedar Shingle,1997,Unknown,Unknown,TWO LEVELS; this shelter needs additional gradeing and surface material to meet accessibility req.,6.800000,1.900000,Differential,GeoExplorer 3,03/17/04,09:39:02,New,FMSS Shelter,R031713B_Edited.cor,30,30,AT Version 9c,1262,308356.000000,1032.182000,3.200000,1.300000,2.715913,36.809450890,-81.422557316,2004 Trail Assessment,95307,Official A.T. Shelter,-81.42255,36.80945,SH58,Piedmont Appalachian Trail Hikers,,SMYTH,Virginia,3238.402,Yes,01/12/2015
Davis Path (old shelter),Log/Lumber,16.000000,13.000000,8.000000,208,1984,Corregated Metal,1984,No,Unknown,,4.800000,2.700000,Differential,GeoExplorer 3,03/18/04,15:35:10,New,FMSS Shelter,R031816A_Edited.cor,32,32,AT Version 9c,1262,416123.000000,885.469000,1.700000,1.500000,27.358353,36.914459090,-81.376995145,2004 Trail Assessment,95240,"Old shelter, now removed",-81.37699,36.91446,SH59,Piedmont Appalachian Trail Hikers,,SMYTH,Virginia,2908.926,No,01/12/2015
Helvey's Mill,Lumber,16.000000,8.000000,8.000000,128,1960,Asphault Shingle,2002,No,Unknown,,7.600000,4.500000,Differential,GeoExplorer 3,03/23/04,16:48:35,New,FMSS Shelter,R032318A_Edited.cor,31,31,AT Version 9c,1263,247729.000000,953.640000,2.000000,1.300000,24.413097,37.130706449,-81.103144055,2004 Trail Assessment,95408,Official A.T. Shelter,-81.10314,37.13071,SH60,Outdoor Club of Virginia Tech,,BLAND,Virginia,3052.450,Yes,01/12/2015
Cow Camp Gap,Stick_w/Lumber_sidng,16.500000,10.000000,10.000000,160,1986,5V_steel,2009,No,Unknown,,6.700000,4.000000,Differential,GeoExplorer 3,04/02/04,12:34:53,New,FMSS Shelter,R040213A_Edited.cor,34,34,AT Version 9c,1264,491706.000000,967.596000,3.700000,1.800000,10.215385,37.744989402,-79.212949569,2004 Trail Assessment; adjusted based on aerial imagery,0,Official A.T. Shelter,-79.21294,37.74499,SH61,Natural Bridge Appalachian Trail Club,,AMHERST,Virginia,0.000,Yes,01/12/2015
The Priest,Stick_w/Lumber_sidng,16.000000,8.000000,10.000000,128,1960,Asphault Shingle,2008,No,Unknown,,7.600000,4.300000,Differential,GeoExplorer 3,04/03/04,11:55:04,New,FMSS Shelter,R040315A_Edited.cor,31,31,AT Version 9c,1264,575718.000000,1199.049000,1.800000,1.300000,23.459980,37.817596555,-79.070595183,2004 Trail Assessment; adjusted based on aerial imagery,95381,Official A.T. Shelter,-79.07059,37.81760,SH62,Natural Bridge Appalachian Trail Club,,NELSON,Virginia,3836.016,Yes,01/12/2015
Thomas Knob,Log/Lumber,18.000000,10.000000,16.000000,288,1991,Cedar_shingle,1994,No,Unknown,,3.000000,2.000000,Differential,GeoExplorer 3,04/16/04,11:35:07,New,Shelter_Inventory,R041614A_Edited.cor,30,30,AT Version 10,1266,488120.000000,1654.873000,1.600000,1.100000,1.366166,36.656520794,-81.535419585,2004 Trail Assessment,95309,Official A.T. Shelter,-81.53541,36.65652,SH63,Mount Rogers Appalachian Trail Club,,GRAYSON,Virginia,5410.105,Yes,01/12/2015
Punchbowl,Stick_w/T1_siding,16.000000,10.000000,8.000000,160,1961,Asphault_shingle,1961,Unknown,Unknown,,7.900000,4.200000,Differential,GeoExplorer 3,04/19/04,11:11:31,New,Shelter_Inventory,R041914A_Edited.cor,31,31,AT Version 10,1267,141104.000000,772.044000,2.300000,1.800000,70.859665,37.677826519,-79.338693391,2004 Trail Assessment; adjusted based on aerial imagery,95386,Official A.T. Shelter,-79.33869,37.67783,SH64,Natural Bridge Appalachian Trail Club,,AMHERST,Virginia,0.000,Yes,01/12/2015
Saunders,Timber_Frame,16.000000,10.000000,10.000000,160,1988,Corregated_metal,1988,Unknown,Unknown,many campsites surround shelter,3.600000,2.000000,Differential,GeoExplorer 3,04/06/04,11:21:04,New,Shelter_Inventory,R040615A_Edited.cor,25,25,AT Version 10,1265,228077.000000,997.017000,1.700000,1.300000,38.128768,36.637682692,-81.713643317,2004 Trail Assessment,95417,Official A.T. Shelter,-81.71364,36.63768,SH65,Mount Rogers Appalachian Trail Club,,WASHINGTON,Virginia,3306.659,Yes,01/12/2015
Devil's Racecourse (old shelter),Log,18.000000,12.000000,7.000000,216,1935,Corregated_steel,0,No,Unknown,CCC era shelter.  Scheduled to be replaced,5.400000,3.200000,Differential,Geo XT,06/17/05,03:55:31pm,New,Shelter,R061713B_edited_maro,84,84,ATversion11d,1327,503744.000000,406.090000,1.000000,0.700000,4.761578,39.671943049,-77.524413051,2005 Trail Assessment,95205,"Old shelter, now removed",-77.52441,39.67194,SH66,Potomac Appalachian Trail Club,,WASHINGTON,Maryland,1450.326,No,01/12/2015
Ensign Cowall,Log,17.000000,12.000000,14.000000,172,0,5v_steel,0,No,Unknown,,6.500000,3.700000,Differential,Geo XT,06/25/05,03:13:52pm,New,Shelter,R062512A_edited_maro,32,32,ATversion11d,1328,587645.000000,388.274000,0.800000,0.700000,2.487675,39.630991007,-77.555970041,2005 Trail Assessment; adjusted based on aerial imagery,95261,Official A.T. Shelter,-77.55597,39.63099,SH67,Potomac Appalachian Trail Club,,WASHINGTON,Maryland,1380.851,Yes,01/12/2015
Pine  Knob,Log,17.000000,8.000000,9.500000,136,0,Corregated_steel,0,No,Unknown,,8.200000,3.600000,Differential,Geo XT,07/23/05,12:51:07pm,New,Shelter,R072311A_edited_maro,49,49,ATversion11d,1332,579081.000000,386.570000,1.600000,1.200000,15.826197,39.542479117,-77.602120797,2005 Trail Assessment; adjusted based on aerial imagery,95197,Official A.T. Shelter,-77.60212,39.54248,SH68,Potomac Appalachian Trail Club,,WASHINGTON,Maryland,1418.730,Yes,01/12/2015
Rutherford,Log,15.500000,12.000000,8.000000,180,1967,Corregated_steel,0,No,Unknown,,4.700000,2.500000,Differential,GeoExplorer 3,07/24/05,12:04:43pm,New,Shelter,R072415A_edited_maro,45,45,ATversion11d,1333,57896.000000,381.573000,2.900000,1.900000,6.358858,41.277460921,-74.678221857,2005 Trail Assessment; adjusted based on aerial imagery,95215,Official A.T. Shelter,-74.67822,41.27746,SH69,New York-New Jersey Trail Conference,MONTAGUE TWP,SUSSEX,New Jersey,1335.735,Yes,01/12/2015
Crampton Gap,Log/Lumber,13.500000,10.000000,10.000000,135,0,Corregated_steel,0,No,Unknown,CCC era?,6.400000,2.700000,Differential,Geo XT,07/31/05,11:00:56am,New,Shelter,R073109A_edited_maro,30,30,ATversion11d,1334,54070.000000,268.027000,1.900000,0.800000,1.740890,39.412562369,-77.637335372,2005 Trail Assessment,95190,Official A.T. Shelter,-77.63733,39.41256,SH70,Potomac Appalachian Trail Club,,FREDERICK,Maryland,967.764,Yes,01/12/2015
Rocky Run (old shelter),Log,8.000000,13.000000,9.500000,104,1940,Asphalt_shingle,0,No,Unknown,Scheduled for replacement in '05/'06,17.400000,6.500000,Differential,Geo XT,07/31/05,04:19:34pm,New,Shelter,R073114A_edited_maro,37,37,ATversion11d,1334,73188.000000,262.760000,8.300000,3.400000,33.589033,39.460924089,-77.631182126,2005 Trail Assessment,95189,"Old Shelter, now removed??",-77.63118,39.46092,SH71,Potomac Appalachian Trail Club,,WASHINGTON,Maryland,924.043,No,01/12/2015
Ed Garvey,Log/Lumber,17.000000,12.000000,16.000000,248,2000,5v_steel,0,No,Unknown,"deck, table, loft, plexi windows, 4 benches",3.200000,1.500000,Differential,Geo XT,08/13/05,01:08:50pm,New,Shelter,R081313A_edited_maro,34,34,ATversion11d,1335,580144.000000,300.251000,1.000000,0.500000,0.777992,39.359791877,-77.662039538,2005 Trail Assessment; adjusted based on aerial imagery,95313,Official A.T. Shelter,-77.66203,39.35979,SH72,Potomac Appalachian Trail Club,,FREDERICK,Maryland,1072.786,Yes,01/12/2015
Pochuck Mountain,Other,15.000000,12.000000,7.000000,90,0,Asphalt_shingle,0,No,Unknown,,5.800000,4.200000,Differential,Geo XT,10/07/05,10:04:54am,New,Shelter,R100709A_edited_maro,34,34,ATversion11d,1343,482708.000000,238.460000,1.800000,1.600000,1.250640,41.271259870,-74.515345090,2005 Trail Assessment; adjusted based on aerial imagery,95213,Official A.T. Shelter,-74.51534,41.27126,SH73,New York-New Jersey Trail Conference,VERNON TWP,SUSSEX,New Jersey,850.729,Yes,01/12/2015
Mashipicong,Stone,19.500000,15.000000,8.000000,120,0,Corregated_steel,0,Yes,Unknown,,4.500000,2.500000,Differential,Geo XT,11/18/05,11:08:32am,New,Shelter,R111809A_edited_maro,33,33,ATversion11d,1349,486525.000000,399.563000,0.700000,0.400000,0.642802,41.252158677,-74.686358749,2005 Trail Assessment,95360,Official A.T. Shelter,-74.68635,41.25216,SH74,New York-New Jersey Trail Conference,MONTAGUE TWP,SUSSEX,New Jersey,1423.885,Yes,01/12/2015
Wawayanda,Log/Lumber,15.000000,10.000000,7.000000,96,0,Asphalt_shingle,0,No,Unknown,,5.100000,1.700000,Differential,Geo XT,11/19/05,02:18:45pm,New,Shelter,R111912A_edited_maro,35,35,ATversion11d,1349,584338.000000,337.839000,0.900000,0.400000,0.518384,41.202215996,-74.398137109,2005 Trail Assessment,95214,Official A.T. Shelter,-74.39813,41.20222,SH75,New York-New Jersey Trail Conference,VERNON TWP,SUSSEX,New Jersey,1184.287,Yes,01/12/2015
Ten Mile River Lean-to,Log,16.000000,11.100000,7.800000,91,1995,Corregated_steel,0,No,Unknown,,10.500000,3.600000,Differential,Geo XT,05/27/05,11:03:03am,New,Shelter2,R052709A_edited_nero,46,46,ATversion11d,1324,486196.000000,65.522000,1.400000,0.600000,0.000767,41.665173451,-73.509678324,2005 Trail Assessment,95260,Official A.T. Shelter,-73.50967,41.66517,SH76,AMC - Connecticut Chapter,"SHERMAN, TOWN OF",FAIRFIELD,Connecticut,298.556,Yes,01/12/2015
Frye Notch Lean-to,Log/Lumber,15.000000,10.000000,10.000000,150,0,Corregated_steel,0,No,Unknown,aluminum roof,6.000000,4.300000,Differential,Geo XT,07/31/05,02:07:12pm,New,Shelter2,R073108A_edited_nero,90,90,ATversion11d,1334,65245.000000,681.337000,1.000000,0.800000,0.000647,44.627955499,-70.900398064,2005 Trail Assessment; adjusted based on 2013 data,95238,Official A.T. Shelter,-70.90039,44.62796,SH77,Maine Appalachian Trail Club,"ANDOVER WEST SURPLUS, TOWN OF",OXFORD,Maine,2253.939,Yes,01/12/2015
Chairback Gap Lean-to,Log/Lumber,14.000000,10.000000,8.500000,72,0,Corregated_steel,0,No,Unknown,,3.500000,1.800000,Differential,Geo XT,08/01/05,03:24:38pm,New,Shelter2,R080110B_edited_nero,86,86,ATversion11d,1334,156291.000000,581.355000,1.400000,1.100000,0.001465,45.453160491,-69.262378662,2005 Trail Assessment; adjusted based on 2013 data,95237,Official A.T. Shelter,-69.26237,45.45316,SH78,Maine Appalachian Trail Club,,PISCATAQUIS,Maine,1942.857,Yes,01/12/2015
Cloud Pond Lean-to,Log/Lumber,15.000000,10.000000,9.000000,105,0,Corregated_steel,0,No,Unknown,,5.500000,2.500000,Differential,Geo XT,08/02/05,11:44:32am,New,Shelter2,R080207A_edited_nero,30,30,ATversion11d,1334,229485.000000,714.649000,0.900000,0.500000,0.000330,45.418095306,-69.353853113,2005 Trail Assessment; adjusted based on 2013 data,95268,Official A.T. Shelter,-69.35385,45.41810,SH79,Maine Appalachian Trail Club,"ELLIOTTSVILLE, TOWN OF",PISCATAQUIS,Maine,2437.462,Yes,01/12/2015
Long Pond Lean-to,Log/Lumber,13.000000,9.000000,10.000000,84,0,Corregated_steel,0,No,Unknown,,7.400000,3.600000,Differential,Geo XT,08/02/05,04:41:01pm,New,Shelter2,R080207A_edited_nero,138,138,ATversion11d,1334,247274.000000,251.544000,1.900000,1.200000,0.001955,45.421148471,-69.410229635,2005 Trail Assessment; adjusted based on 2013 data,95281,Official A.T. Shelter,-69.41022,45.42115,SH80,Maine Appalachian Trail Club,"ELLIOTTSVILLE, TOWN OF",PISCATAQUIS,Maine,923.818,Yes,01/12/2015
The Hemlocks Lean-to,Other,14.000000,12.000000,15.000000,292,0,Corregated_steel,0,No,Unknown,height is approximate,15.300000,7.000000,Differential,Geo XT,08/09/05,12:28:46pm,New,Shelter2,R080910A_edited_nero,59,59,ATversion11d,1335,232139.000000,565.395000,1.400000,0.900000,0.001891,42.109699767,-73.429111795,2005 Trail Assessment,95354,Official A.T. Shelter,-73.42911,42.10970,SH81,AMC - Berkshire Chapter,"MOUNT WASHINGTON, TOWN OF",BERKSHIRE,Massachusetts,1917.904,Yes,01/12/2015
Glen Brook Lean-to,Other,10.000000,9.000000,15.000000,90,1986,Corregated_steel,0,No,Unknown,height is approximate,6.900000,2.400000,Differential,Geo XT,08/09/05,01:03:51pm,New,Shelter2,R080910A_edited_nero,49,49,ATversion11d,1335,234244.000000,554.952000,1.500000,0.900000,0.003983,42.111040390,-73.427718826,2005 Trail Assessment,95353,Official A.T. Shelter,-73.42771,42.11104,SH82,AMC - Berkshire Chapter,"MOUNT WASHINGTON, TOWN OF",BERKSHIRE,Massachusetts,1879.926,Yes,01/12/2015
Mount Algo Lean-to,Log/Lumber,14.000000,10.800000,8.500000,87,0,Corregated_steel,0,No,Unknown,,13.100000,5.400000,Differential,Geo XT,08/10/05,02:07:15pm,New,Shelter2,R081013A_edited_nero,60,60,ATversion11d,1335,324449.000000,176.818000,3.500000,1.700000,0.001021,41.731808465,-73.496264683,2005 Trail Assessment,95259,Official A.T. Shelter,-73.49626,41.73181,SH83,AMC - Connecticut Chapter,"KENT, TOWN OF",LITCHFIELD,Connecticut,631.406,Yes,01/12/2015
Poplar Ridge Lean-to,Log/Lumber,14.000000,10.000000,9.000000,84,0,Corregated_steel,0,No,Unknown,,13.600000,4.900000,Differential,Geo XT,08/15/05,01:54:13pm,New,Shelter2,R081511A_edited_nero,30,30,ATversion11d,1336,150867.000000,871.998000,1.600000,1.200000,0.000384,44.970045276,-70.445927615,2005 Trail Assessment; adjusted based on 2013 data,95247,Official A.T. Shelter,-70.44592,44.97004,SH84,Maine Appalachian Trail Club,"REDINGTON, TOWN OF",FRANKLIN,Maine,2936.944,Yes,01/12/2015
Lost Pond Shelter (old shelter - burned down),Post_&_Beam,8.000000,12.000000,15.000000,90,2002,5V_steel,2002,Yes,Unknown,Burned Down,3.900000,2.600000,Differential,Geo XT,09/13/05,12:13:16pm,New,Shelter2,R091312A_edited_nero,36,36,ATversion11d,1340,231210.000000,637.725000,0.800000,0.900000,0.001409,43.347629523,-72.953056590,2005 Trail Assessment,95340,"Old shelter, no longer there - burned down",-72.95305,43.34763,SH85,Green Mountain Club,"MT TABOR, TOWN OF",RUTLAND,Vermont,2181.573,No,01/12/2015
Ore Hill (old shelter),Log,16.000000,12.000000,16.000000,30,0,Corregated_steel,0,Yes,Unknown,,11.600000,4.800000,Differential,Geo XT,10/06/05,10:28:38am,New,Shelter2,R100608A_edited_nero,33,33,ATversion11d,1343,397731.000000,532.317000,0.800000,0.600000,0.000444,43.921863907,-71.957969090,2005 Trail Assessment; adjusted based on 2013 data,95253,"Old shelter, no longer there - burned down",-71.95796,43.92186,SH86,Dartmouth Outing Club,"WARREN, TOWN OF",GRAFTON,New Hampshire,1833.146,No,01/12/2015
Melville Nauheim,Other,16.000000,15.000000,12.000000,160,0,Asphalt_shingle,0,Yes,Unknown,Stick built w/board sides & 4 bunks - roof needs replacement,2.800000,1.600000,Differential,Geo XT,10/06/05,12:52:28pm,New,Shelter2,R100611A_edited_nero,71,71,ATversion11d,1343,406362.000000,724.487000,0.800000,0.600000,0.000613,42.887840904,-73.095559801,2005 Trail Assessment,95344,Official A.T. Shelter,-73.09555,42.88784,SH87,Green Mountain Club,"WOODFORD, TOWN OF",BENNINGTON,Vermont,2444.123,Yes,01/12/2015
Sasafras Gap,Stick_w/ply_siding,13.000000,16.000000,9.750000,272,0,Standing_seam,0,No,Unknown,,7.900000,1.800000,Uncorrected,Geo XT,01/26/05,10:52:57am,New,Shelter_Inventory,R012609A_soro.SSF,30,30,,1307,312790.000000,1303.878000,16.300000,6.100000,0.001324,35.330766224,-83.666998043,2005 Trail Assessment,95436,Official A.T. Shelter,-83.66699,35.33077,SH88,Smoky Mountain Hiking Club,,SWAIN,North Carolina,4318.463,Yes,01/12/2015
Springer Mountain,Post_&_Beam,12.000000,17.000000,16.000000,216,1993,Cedar_shingle,0,No,Unknown,,7.400000,1.900000,Differential,Geo XT,02/03/05,11:16:55am,New,Shelter_Inventory,R020309A_edited_soro,32,32,,1308,400628.000000,1100.826000,6.700000,1.900000,0.000386,34.629336918,-84.192778629,2005 Trail Assessment,95458,Official A.T. Shelter,-84.19277,34.62934,SH89,Georgia Appalachian Trail Club,,FANNIN,Georgia,3685.386,Yes,01/12/2015
Stover Creek,Post_&_Beam,8.000000,12.000000,7.500000,96,2006,Asphault_shingle,0,No,Unknown,,4.400000,2.400000,Differential,Geo XT,02/03/05,03:00:58pm,New,Shelter_Inventory,R020312A_edited_soro,29,29,,1308,414071.000000,861.433000,3.300000,2.400000,0.000754,34.648938302,-84.200182117,2005 Trail Assessment,95457,Official A.T. Shelter,-84.20018,34.64894,SH90,Georgia Appalachian Trail Club,,FANNIN,Georgia,2909.947,Yes,01/12/2015
Icewater Spring,Stone/Log,24.000000,14.000000,8.000000,248,1963,Corregated_steel,1999,No,Unknown,,6.600000,1.800000,Differential,Geo XT,05/03/05,12:33:05pm,New,Shelter,R050310A_edited_soro,30,30,ATversion11d,1321,232399.000000,1774.747000,1.200000,0.500000,0.000187,35.629755800,-83.386279566,2005 Trail Assessment; adjusted based on aerial imagery,95320,Official A.T. Shelter,-83.38627,35.62976,SH91,Smoky Mountain Hiking Club,,SWAIN,North Carolina,5894.866,Yes,01/12/2015
Silers Bald,Stone/Log,30.000000,27.000000,25.000000,350,2004,Corregated_steel,2004,No,Unknown,"sleep space is 300  over 2 decks, remodeled in 2004",3.300000,1.400000,Differential,Geo XT,06/27/05,11:01:05am,New,Shelter,R062710A_edited_soro,31,31,ATversion11d,1329,140478.000000,1631.114000,0.800000,0.400000,0.000143,35.564263167,-83.568247723,2005 Trail Assessment; adjusted based on aerial imagery,95440,Official A.T. Shelter,-83.56824,35.56426,SH92,Smoky Mountain Hiking Club,,SEVIER,North Carolina,5450.059,Yes,01/12/2015
Derrick Knob,Stone/Log,39.000000,18.000000,20.000000,240,2007,Corregated_steel,2007,No,Unknown,fl spaace is 30x15. sleep space recordeed above,7.800000,6.000000,Differential,Geo XT,06/27/05,02:55:09pm,New,Shelter,R062713A_edited_soro,31,31,ATversion11d,1329,154522.000000,1459.203000,0.600000,0.400000,0.004659,35.566503066,-83.641886867,2005 Trail Assessment; adjusted based on aerial imagery,95441,Official A.T. Shelter,-83.64188,35.56650,SH93,Smoky Mountain Hiking Club,,SEVIER,Tennessee,4869.207,Yes,01/12/2015
Spence Field,Stone/Log,17.000000,23.000000,8.000000,252,1963,Corregated_fiberglas,0,No,Unknown,,6.300000,1.800000,Differential,Geo XT,06/28/05,12:55:32pm,New,Shelter,R062811A_edited_soro,36,36,ATversion11d,1329,233745.000000,1467.417000,1.100000,0.500000,0.001189,35.561784481,-83.732666792,2005 Trail Assessment,95442,Official A.T. Shelter,-83.73266,35.56178,SH94,Smoky Mountain Hiking Club,,SWAIN,North Carolina,4863.992,Yes,01/12/2015
Laurel Creek,Post_&_Beam,16.000000,8.000000,12.000000,128,1988,Asphalt_shingle,1998,Unknown,Unknown,Minor damage to roof as of 2010,14.200000,5.500000,Differential,Geo XT,08/01/05,04:31:39pm,New,Shelter,R080113A_edited.cor,44,44,ATversion11d,1334,160313.000000,802.203000,3.200000,1.400000,0.001493,37.358895863,-80.420893912,2005 Trail Assessment,95666,Official A.T. Shelter,-80.42089,37.35889,SH95,Roanoke Appalachian Trail Club,,CRAIG,Virginia,2782.152,Yes,01/12/2015
Pinefield Hut,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,,5.000000,2.400000,Differential,Pro XRS,06/23/02,11:44:22am,,,E062307A.cor,20,20,,0,0.000000,742.337000,2.100000,0.800000,0.235427,38.290520000,-78.646030000,2002 GPS Survey; adjusted based on aerial imagery,95376,Official A.T. Shelter,-78.64603,38.29052,SH96,Potomac Appalachian Trail Club,,GREENE,Virginia,0.000,Yes,01/12/2015
Pocosin Cabin,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,Not listed in A.T. publications,4.500000,3.600000,Differential,Pro XRS,06/26/02,10:04:18am,,,E062606A.cor,25,25,,0,0.000000,959.219000,1.500000,1.400000,2.177194,38.410250000,-78.488990000,2002 GPS Survey,0,Other,-78.48899,38.41025,SH97,Potomac Appalachian Trail Club,,GREENE,Virginia,3133.614,no,01/12/2015
Rock Spring Hut,Unknown,0.000000,0.000000,0.000000,0,0,Unknown,0,Unknown,Water Source and Toilet,,3.700000,1.700000,Differential,Pro XRS,06/27/02,09:45:33am,,,E062707A.cor,20,20,,0,0.000000,1038.612000,1.700000,0.800000,0.108616,38.553490000,-78.408580000,2002 GPS Survey; adjusted based on aerial imagery,95236,Official A.T. Shelter,-78.40858,38.55349,SH98,Potomac Appalachian Trail Club,,PAGE,Virginia,0.000,Yes,01/12/2015
Byrds Nest 3,Stone,24.000000,15.000000,10.000000,155,0,Corregated_steel,0,Unknown,Unknown,CCC era; converted from day use to overnight in 2008,5.600000,1.800000,Differential,Pro XRS,06/28/02,11:36:01am,,,E062807A.cor,26,26,,0,0.000000,1003.253000,2.300000,0.900000,0.692489,38.634400000,-78.324040000,2002 GPS Survey; 2013 Trail Assessment,0,Official A.T. Shelter,-78.32404,38.63440,SH99,Potomac Appalachian Trail Club,,RAPPAHANNOCK,Virginia,0.000,yes,01/12/2015
